Title_Abstract	Status
"Title: Tissue-specific alternative promoters of the serotonin receptor gene HTR3B in human brain and intestine. Abstract: The serotonin receptor type 3 is a pentameric ligand-gated ion channel regulating intestinal motility, nausea, and vomiting in humans. The HTR3B gene codes for the subunit B of this receptor. The HTR3B transcription start site is not unequivocally identified. In the present study we used transcription start site analyses, transcript-specific RT-PCR, and functional promoter analyses to identify the 5' structure of the HTR3B gene. According to these experiments, two alternative promoters control the expression of different HTR3B transcripts in the peripheral and central nervous system. The transcription start sites observed in the intestine corresponded to the current human genome annotation (NCBI Build 36.1, March 2006). The transcription start sites in the brain, however, were localized in a region about 4000 bp downstream. The brain transcripts lacked the coding first exon of the HTR3B structure published earlier but had an upstream-extended exon 2 containing a new potential translational start site. Reporter gene analyses showed significant promoter activity of the genomic region located 1560 bp upstream to 93 bp downstream of the brain-specific transcription start sites. This data suggests a different transcriptional regulation of the HTR3B gene in the peripheral and the central nervous system that leads to the expression of transcripts with variations in the 5' coding sequence. Further studies on the expression, structure and function of therefore expected tissue-specific 5-HT(3B) isoforms are required."	1
"Title: Chemotherapy-related secondary leukemias: A role for DNA repair by error-prone non-homologous end joining in topoisomerase II - Induced chromosomal rearrangements. Abstract: Chromosome rearrangements are believed to cause the secondary leukemias which constitute frequent complications of antitumor chemotherapy with topoisomerase II-specific drugs. Here we show that inhibition of DNA topoisomerase II in cultured cells stimulates association of components of the non-homologous end joining system with a known breakpoint cluster region of the human AML1 gene, suggesting that errors of DNA repair during NHEJ may be the cause of illegitimate recombination in cells treated with topoisomerase II poisons."	1
"Title: Hypoxia induces class III beta-tubulin gene expression by HIF-1alpha binding to its 3' flanking region. Abstract: Class III beta-tubulin (TUBB3) overexpression represents a major mechanism of drug resistance to microtubule interacting agents such as taxanes and Vinca alkaloids. Here, we tested hypoxia as a possible inducer of TUBB3. The effects of hypoxia on TUBB3 expression were monitored at mRNA and protein level in A2780, in its paclitaxel-resistant counterpart (TC1) and in HeLa cells. Hypoxia was a strong inducer of TUBB3 in A2780, but not in TC1 and HeLa cells. In A2780 HIF-1alpha was knocked down using RNA interference and TUBB3 expression was assessed in normoxia and hypoxia. The silencing abolished the hypoxia-dependent increase of TUBB3, thereby demonstrating that HIF-1alpha mediates TUBB3 induction in hypoxia. To investigate this phenomenon, the 5' flanking region of human TUBB3 was cloned upstream GFP as a reporter. This region contained the promoter gene, but activity of the reporter was unaffected by hypoxia. Thus, we looked at the 3' flanking region and, at +168 nucleotides from the stop codon, an HIF-1alpha binding site was proven to be active in hypoxia, using a construct in which the site was cloned downstream GFP as reporter gene. Deletion of the site in the construct abolished GFP enhancement upon hypoxia. Chromatin immunoprecipitation revealed the engagement by HIF-1alpha of this site in hypoxia. Methylation analysis of this 3' enhancer showed that it was free of methylation in 70% of cells in A2780, while in less than 16% in both TC1 and HeLa cells, thereby suggesting that TUBB3 increase upon hypoxia is abolished through methylation of the 3' enhancer."	1
"Title: Enhancement of prostaglandin D(2) production through cyclooxygenase-2 and lipocalin-type prostaglandin D synthase by upstream stimulatory factor 1 in human brain-derived TE671 cells under serum starvation. Abstract: We found that prostaglandin (PG) D(2) production was induced through transcriptional activation of cyclooxygenase (COX)-2 and lipocalin-type PGD synthase (L-PGDS) genes under serum-starved conditions in human brain-derived TE671 cells. Analysis of promoter and intron regions of the human L-PGDS gene demonstrated that an atypical E-box within intron 4 mediated serum starvation-induced up-regulation of L-PGDS gene expression. The results of electrophoretic mobility shift assay and chromatin immunoprecipitation assay showed that upstream stimulatory factor (USF) 1 bound to this atypical E-box. USF1 gene expression was also enhanced during serum starvation in TE671 cells through activation of p38 mitogen activated protein kinase, and the efficiency of the binding of USF1 to the atypical E-box was clearly increased by serum starvation. Administration of USF1 siRNA suppressed both L-PGDS and COX-2 gene expression and PGD(2) production. Moreover, NS-398, a COX-2 inhibitor and AT-56, an L-PGDS inhibitor, suppressed PGD(2) production in TE671 cells cultured under the serum-starved condition. These results indicate that PGD(2) production stimulated by serum starvation is mediated by both COX-2 and L-PGDS through enhancement of USF1 in TE671 cells."	1
"Title: Expression of microRNA-146 in rheumatoid arthritis synovial tissue. Abstract: Several microRNA, which are approximately 22-nucleotide noncoding RNAs, exhibit tissue-specific or developmental stage-specific expression patterns and are associated with human diseases. The objective of this study was to identify the expression pattern of microRNA-146 (miR-146) in synovial tissue from patients with rheumatoid arthritis (RA). Methods: The expression of miR-146 in synovial tissue from 5 patients with RA, 5 patients with osteoarthritis (OA), and 1 normal subject was analyzed by quantitative reverse transcription-polymerase chain reaction (RT-PCR) and by in situ hybridization and immunohistochemistry of tissue sections. Induction of miR-146 following stimulation with tumor necrosis factor alpha (TNFalpha) and interleukin-1beta (IL-1beta) of cultures of human rheumatoid arthritis synovial fibroblasts (RASFs) was examined by quantitative PCR and RT-PCR. Results: Mature miR-146a and primary miR-146a/b were highly expressed in RA synovial tissue, which also expressed TNFalpha, but the 2 microRNA were less highly expressed in OA and normal synovial tissue. In situ hybridization showed primary miR-146a expression in cells of the superficial and sublining layers in synovial tissue from RA patients. Cells positive for miR-146a were primarily CD68+ macrophages, but included several CD3+ T cell subsets and CD79a+ B cells. Expression of miR-146a/b was markedly up-regulated in RASFs after stimulation with TNFalpha and IL-1beta. Conclusion: This study shows that miR-146 is expressed in RA synovial tissue and that its expression is induced by stimulation with TNFalpha and IL-1beta. Further studies are required to elucidate the function of miR-146 in these tissues."	1
"Title: Functional mapping of the promoter region of the GNB2L1 human gene coding for RACK1 scaffold protein. Abstract: RACK1 (Receptor for Activated C Kinase 1) is a scaffold protein for different kinases and membrane receptors. Previously, we characterized an age-dependent decline of RACK1 protein expression which could be counteracted with DHEA (dehydroepiandrosterone) [Corsini, E., et al. 2002. In vivo dehydroepiandrosterone restores age-associated defects in the protein kinase C signal transduction pathway and related functional responses. J. Immunol. 168, 1753-1758. and Corsini, E., et al. 2005. Age-related decline in RACK-1 expression in human leukocytes is correlated to plasma levels of dehydroepiandrosterone. J. Leukoc. Biol. 77, 247-256.]. Hypothesizing a direct control of RACK1 expression by DHEA we studied the not yet characterized human promoter region of its coding gene GNB2L1. The FLOE (Fluorescently Labeled Oligonucleotide Extension) was used to map the transcription start site and a novel Gateway luciferase vector (GW luc basic; Del Vecchio, I., Zuccotti, A., Canneva, F., Lenzken, S.C., Racchi, M., 2007. Development of the first Gateway firefly luciferase vector and use of reverse transcriptase in FLOE (Fluorescently Labeled Oligonucleotide Extension) reactions. Plasmid 58, 269-274.) to obtain promoter region mutants. Human SH-SY5Y, THP1 and lymphoblastoid cells were used for transient transfections and treatments with lipopolysaccharide (LPS), phorbol myristate acetate (PMA), DHEA and cortisol (the first two molecules to differently activate NF-kB, a transcription complex able to regulate the murine Gnb2l1 gene expression, whereas DHEA and cortisol since they are known to be imbalanced during the aging and possess counteracting actions on the immune function). The primer extension demonstrated the existence of two alternative start sites of transcription respectively located at about 230 and 300 nt 5' of the Genbank mRNA entry for GNB2L1. Moreover, as a result of the luciferase study we were able to demonstrate that a little region of approximately 300 nt conserved sufficient elements for reporter expression. We also reported that the DHEA modulation of GNB2L1 endogenous expression could not be recapitulated with the luciferase assays. Indeed, the promoter was significantly modulated by means of LPS and PMA treatments but not using DHEA. Differently the use of cortisol led us to demonstrate a biologically significant decrease of luciferase activity only in the presence of a binding site for nuclear receptors of glucocorticoids. Interestingly, other binding sites for transcriptional factors were identified in silico: different c-Rel (NF-kB) and some cardiomyocitic specific cis-acting elements. All this data suggest that the DHEA mediated GNB2L1 regulation is modulated by distant elements (enhancers/silencers), whereas LPS, PMA and cortisol effect can act directly on the mapped GNB2L1 promoter. In conclusion we hypothesize that the imbalance between DHEA and cortisol during aging could be important in the previously demonstrated recovery of the RACK1 expression."	1
"Title: EGF-recruited JunD/c-fos complexes activate CD2AP gene promoter and suppress apoptosis in renal tubular epithelial cells. Abstract: CD2-associated protein (CD2AP) plays a critical role in the maintenance of the kidney filtration barrier. In this study, we showed that epidermal growth factor (EGF) led to an increase of the CD2AP protein and mRNA in the human renal proximal tubular epithelial cell line HK-2 cells, which was due to the elevation of CD2AP promoter activity. Upon deletion and mutation analysis, electrophoretic mobility shift assays and chromatin immunoprecipitation, an AP-1-like element within CD2AP promoter was characterized, by which EGF recruited c-fos and JunD, two components of AP-1, to the human CD2AP gene promoter and suppressed angiotensin II-induced apoptosis in HK-2 cells. Specific siRNA was synthesized to knock down the human CD2AP gene in HK-2 cells. We found that CD2AP deficiency attenuated the inhibitory effects of EGF and predisposed the renal tubular epithelial cells to undergo angiotensin II-induced apoptosis. Furthermore, EGF-induced increases of CD2AP protein and mRNA expressions in HK-2 cells were significantly inhibited by the transfection of dominant negative JunD or c-fos vector, which was in parallel with a marked reduction of antiapoptotic effect of EGF. These results indicated that the antiapoptotic effect of EGF/CD2AP signal transduction was mediated by JunD and c-fos, at least partially. This study defined a new EGF/AP-1/CD2AP mediated cell-survival signaling, which might be useful to clarify the molecular mechanisms responsible for CD2AP associated kidney diseases."	1
"Title: Bruton's tyrosine kinase is involved in miR-346-related regulation of IL-18 release by lipopolysaccharide-activated rheumatoid fibroblast-like synoviocytes. Abstract: MicroRNAs (miRNAs) have emerged as key players in the regulation of expression of target mRNAs expression. They have been associated with diverse biological processes, and recent studies have demonstrated that miRNAs play a role in inflammatory responses. We reported previously that LPS-activated fibroblast-like synoviocytes (FLS) isolated from rheumatoid arthritis (RA) patients express IL-18 mRNA but they do not release IL-18. Based on the observation that this inhibition was due to a rapid degradation of IL-18 mRNA, our group has conducted a study to identify miRNAs that could play a role in the ""antiinflammatory"" response of LPS-activated RA FLS. LPS challenge modulated the expression of 63 miRNAs as assessed by microarray analysis. Fifteen miRNAs were up-regulated, including miR-346, for which overexpression upon LPS treatment was validated by quantitative RT-PCR. We then transfected FLS with an antisense oligonucleotide targeting miR-346 and found that, in these conditions, IL-18 release could be measured upon LPS activation of FLS. Moreover, we also demonstrated that miR-346 indirectly regulated IL-18 release by indirectly inhibiting LPS-induced Bruton's tyrosine kinase expression in LPS-activated RA FLS. These findings suggest that miRNAs function as regulators that help to fine-tune the inflammatory response in RA."	1
"Title: MicroRNA-9 inhibits ovarian cancer cell growth through regulation of NF-kappaB1. Abstract: MicroRNAs are emerging as important regulators of cancer-related processes. Our studies show that microRNA-9 (miR-9) is downregulated in human ovarian cancer relative to normal ovary, and overexpression of miR-9 suppresses cell growth in vitro. Furthermore, the 3'-UTR of NF-kappaB1 mRNA is found to be regulated directly by miR-9, demonstrating that NF-kappaB1 is a functionally important target of miR-9 in ovarian cancer cells. When miR-9 is overexpressed in ovarian cancer cells, the mRNA and protein levels of NF-kappaB1 are both suppressed, whereas inhibition of miR-9 results in an increase in the NF-kappaB1 expression level. Ovarian cancer tissues display significantly low expression of miR-9 and a high level of NF-kappaB1 compared with normal tissues, indicating that regulation of NF-kappaB1 by miR-9 is an important mechanism for miR-9 to inhibit ovarian cancer proliferation."	1
"Title: CD44-positive cells are responsible for gemcitabine resistance in pancreatic cancer cells. Abstract: Accumulating evidence suggests that tumors are composed of a heterogeneous cell population with a small subset of cancer stem cells (CSCs) that sustain tumor formation and growth. Recently, there have been efforts to explain drug resistance of cancer cells based on the concept of CSCs having an intrinsic detoxifying mechanism. In the present study, to investigate the role of CSCs in acquiring chemoresistance in pancreatic cancer, gemcitabine-resistant cells were established by exposure to serially escalated doses of gemcitabine in HPAC and CFPAC-1 cells. Gemcitabine-resistant cells were more tumorigenic in vitro and in vivo, and had greater sphere-forming activity than parental cells. After high-dose gemcitabine treatment to eliminate most of the cells, CD44(+) cells proliferated and reconstituted the population of resistant cells. CD44(+)CD24(+)ESA(+) cells remained as a small subset in the resistant cell population. Among ATP-binding cassette (ABC) transporters, which are known as the mechanism of drug resistance in CSCs, ABCB1 (MDR1) was significantly augmented during the acquisition of drug resistance. ABC transporter inhibitor verapamil resensitized the resistant cells to gemcitabine in a dose-dependent manner and RNA interference of CD44 inhibited the clonogenic activity of resistant cells. In human pancreatic cancer samples, CD44 expression was correlated with histologic grade and the patients with CD44-positive tumors showed poor prognosis. These data indicate that cancer stem-like cells were expanded during the acquisition of gemcitabine resistance and in therapeutic application, targeted therapy against the CD44 or ABC transporter inhibitors could be applied to overcome drug resistance in the treatment of pancreatic cancer."	1
"Title: A potent enhancer element in the 5'-UTR intron is crucial for transcriptional regulation of the human ubiquitin C gene. Abstract: Ubiquitin (Ub) plays a crucial role in almost every aspect of cellular functions. It is encoded by four genes, of which UbC is known to meet cell demand for ubiquitin in both basal and stressful conditions. To understand the molecular mechanisms regulating UbC gene expression, we performed a functional characterization of the UbC promoter. Deletion analyses on the 5' end of the -916/+878 promoter region, excluded the functional importance of nt -916/-371 in the transcriptional regulation of the gene, while 3' deletions revealed that intron removal (nt+65/+876) resulted in a marked reduction of promoter activity in all the reporter constructs, regardless of the cell types. Intron substitution with a heterologous chimeric intron failed to restore promoter activity, thus allowing to exclude that the splicing event, per se, can be responsible for the intron-mediated burst of transcription. Gel shift assays demonstrated nuclear factor binding with the +137/+766 intron region. Reporter constructs carrying partial intron deletions confirmed that this sequence is, indeed, required for maximal transcriptional activity. Computer-based analysis found potential Sp1 binding motifs within the intron sequence and electrophoretic mobility shift and supershift assays demonstrated that both Sp1 and Sp3 transcription factors interact, in vitro, with the UbC intron, at multiple binding sites. Moreover, ectopic expression of Sp1 and Sp3 revealed that both transcription factors positively regulate UbC promoter activity. Collectively, our data highlight the very new evidence that the 5'-UTR intron is crucial in regulating UbC gene expression and provide insights into the pivotal role of Sp1/Sp3 binding to the intronic enhancer in the regulation of UbC transcription."	1
"Title: Annexin-1 regulates growth arrest induced by high levels of estrogen in MCF-7 breast cancer cells. Abstract: Estrogen, a naturally occurring female steroid growth hormone, has been implicated as a major risk factor for the development of breast cancer. Recent research into this disease has also correlated Annexin-1 (ANXA1), a glucocorticoid-inducible protein, with the development of breast tumorigenesis. ANXA1 is lost in many cancers, including breast cancer, and this may result in a functional promotion of tumor growth. In this study, we investigated the expression of ANXA1 in MCF-7 cells treated with estrogen and the regulation of estrogen functions by ANXA1. Exposure of MCF-7 breast cancer cells to high physiologic levels (up to 100 nmol/L) of estrogen leads to an up-regulation of ANXA1 expression partially through the activation of cyclic AMP-responsive element binding protein and dependency on activation of the estrogen receptor. In addition, treatment of MCF-7 cells with physiologic levels of estrogen (1 nmol/L) induced proliferation, whereas high pregnancy levels of estrogen (100 nmol/L) induced a growth arrest of MCF-7 cells, associated with constitutive activation of extracellular signal-regulated kinase 1/2 and up-regulation of cell cycle arrest proteins such as p21(waf/cip). Silencing of ANXA1 with specific small interfering RNA reverses the estrogen-dependent proliferation as well as growth arrest and concomitantly modulates extracellular signal-regulated kinase 1/2 phosphorylation. We confirm that ANXA1 is lost in clinical breast cancer, indicating that the antiproliferative protective function of ANXA1 against high levels of estrogen may be lost. Finally, we show that ANXA1-deficient mice exhibit faster carcinogen-induced tumor growth. Our data suggest that ANXA1 may act as a tumor suppressor gene and modulate the proliferative functions of estrogens."	1
